"Phi","Points:0","Points:1","Points:2"
1,102.4,1228.8,0
1,128,1228.8,0
1,153.6,1228.8,0
1,179.2,1228.8,0
1,204.8,1228.8,0
1,230.4,1228.8,0
1,256,1228.8,0
1,281.6,1228.8,0
1,307.2,1228.8,0
1,332.8,1228.8,0
1,358.4,1228.8,0
1,384,1228.8,0
1,409.6,1228.8,0
1,435.2,1228.8,0
1,460.8,1228.8,0
1,486.4,1228.8,0
1,512,1228.8,0
1,537.6,1228.8,0
1,0,1254.4,0
1,25.6,1254.4,0
1,51.2,1254.4,0
1,76.8,1254.4,0
1,102.4,1254.4,0
1,128,1254.4,0
1,153.6,1254.4,0
1,179.2,1254.4,0
1,204.8,1254.4,0
1,230.4,1254.4,0
1,256,1254.4,0
1,281.6,1254.4,0
1,307.2,1254.4,0
1,332.8,1254.4,0
1,358.4,1254.4,0
1,384,1254.4,0
1,409.6,1254.4,0
1,435.2,1254.4,0
1,460.8,1254.4,0
1,486.4,1254.4,0
1,512,1254.4,0
1,537.6,1254.4,0
1,0,1280,0
1,25.6,1280,0
1,51.2,1280,0
1,76.8,1280,0
1,102.4,1280,0
1,128,1280,0
1,153.6,1280,0
1,179.2,1280,0
1,204.8,1280,0
1,230.4,1280,0
1,256,1280,0
1,281.6,1280,0
1,307.2,1280,0
1,332.8,1280,0
1,358.4,1280,0
1,384,1280,0
1,409.6,1280,0
1,435.2,1280,0
1,460.8,1280,0
1,486.4,1280,0
1,512,1280,0
1,537.6,1280,0
1,0,1305.6,0
1,25.6,1305.6,0
1,51.2,1305.6,0
1,76.8,1305.6,0
1,102.4,1305.6,0
1,128,1305.6,0
1,153.6,1305.6,0
1,179.2,1305.6,0
1,204.8,1305.6,0
1,230.4,1305.6,0
1,256,1305.6,0
1,281.6,1305.6,0
1,307.2,1305.6,0
1,332.8,1305.6,0
1,358.4,1305.6,0
1,384,1305.6,0
1,409.6,1305.6,0
1,435.2,1305.6,0
1,460.8,1305.6,0
1,486.4,1305.6,0
1,512,1305.6,0
1,537.6,1305.6,0
1,0,1331.2,0
1,25.6,1331.2,0
1,51.2,1331.2,0
1,76.8,1331.2,0
1,102.4,1331.2,0
1,128,1331.2,0
1,153.6,1331.2,0
1,179.2,1331.2,0
1,204.8,1331.2,0
1,230.4,1331.2,0
1,256,1331.2,0
1,281.6,1331.2,0
1,307.2,1331.2,0
1,332.8,1331.2,0
1,358.4,1331.2,0
1,384,1331.2,0
1,409.6,1331.2,0
1,435.2,1331.2,0
1,460.8,1331.2,0
1,486.4,1331.2,0
1,512,1331.2,0
1,537.6,1331.2,0
1,0,1356.8,0
1,25.6,1356.8,0
1,51.2,1356.8,0
1,76.8,1356.8,0
1,102.4,1356.8,0
1,128,1356.8,0
1,153.6,1356.8,0
1,179.2,1356.8,0
1,204.8,1356.8,0
1,230.4,1356.8,0
1,256,1356.8,0
1,281.6,1356.8,0
1,307.2,1356.8,0
1,332.8,1356.8,0
1,358.4,1356.8,0
1,384,1356.8,0
1,409.6,1356.8,0
1,435.2,1356.8,0
1,460.8,1356.8,0
1,486.4,1356.8,0
1,512,1356.8,0
1,537.6,1356.8,0
1,0,1382.4,0
1,25.6,1382.4,0
1,51.2,1382.4,0
1,76.8,1382.4,0
1,102.4,1382.4,0
1,128,1382.4,0
1,153.6,1382.4,0
1,179.2,1382.4,0
1,204.8,1382.4,0
1,230.4,1382.4,0
1,256,1382.4,0
1,281.6,1382.4,0
1,307.2,1382.4,0
1,332.8,1382.4,0
1,358.4,1382.4,0
1,384,1382.4,0
1,409.6,1382.4,0
1,435.2,1382.4,0
1,460.8,1382.4,0
1,486.4,1382.4,0
1,512,1382.4,0
1,537.6,1382.4,0
1,0,1408,0
1,25.6,1408,0
1,51.2,1408,0
1,76.8,1408,0
1,102.4,1408,0
1,128,1408,0
1,153.6,1408,0
